"Date" "High" "Low" "Last" "Bid" "Ask" "Volume" "VWAP"
"1" 2014-04-15 515 453.16 499.01 500.01 505.04 28535.84410595 491.41
"2" 2014-04-16 548 494.02 534 535.01 536 31159.9413002 520.21
"3" 2014-04-17 537.24 481.63 506.52 504.7 505.38 21126.37508023 504.83
"4" 2014-04-18 508.43 470 487 484.14 487 11879.48475557 485.72
"5" 2014-04-19 507.43 472.81 504.74 504.74 505 10262.19586146 492.22
"6" 2014-04-20 516.53 493 496.2 496.2 499.3 6034.64113905 504.6
"7" 2014-04-21 515 490 497 496.31 496.99 8429.04572287 501.53
"8" 2014-04-22 504.9 486.44 489.5 488.27 489.5 7651.35803164 494.7
"9" 2014-04-23 495.2 484.61 491.31 491.8 491.89 6490.42232713 489.43
"10" 2014-04-24 499 480 498.32 496.16 498.32 6875.47342801 488.46
"11" 2014-04-25 505 438.05 463.54 462.5 463.5 32311.71980748 463.95
"12" 2014-04-26 470.96 451.07 459 459 460 10885.1048664 460.51
"13" 2014-04-27 461.97 438.88 446.9 446.9 446.94 7383.82659768 448.73
"14" 2014-04-28 452.16 424 447.03 447.03 447.49 18802.95830003 437.82
"15" 2014-04-29 454.47 432.02 447.32 447.31 447.32 15120.3357134 443.78
"16" 2014-04-30 451.88 433.08 450.1 448.51 450.1 9694.95230401 443.9
"17" 2014-05-01 465.88 444.79 460.98 458.69 460.98 10479.31086448 457.34
"18" 2014-05-02 462.99 444.51 448.62 448.62 448.64 7670.55277468 451.45
"19" 2014-05-03 455.78 431 438.22 438.6 440.71 8260.32135281 441.93
"20" 2014-05-04 441.9 429.55 438 438 438.2 4040.22365697 434.53
"21" 2014-05-05 445 425 431.8 431.19 431.79 9136.02425448 434.21
"22" 2014-05-06 434.89 420.27 431.84 431.85 431.87 8280.88136882 427.95
"23" 2014-05-07 452 425.67 448.2 447.06 448.2 12038.17376555 440.51
"24" 2014-05-08 450.08 438 443.09 442.01 443 7245.83728943 444.03
"25" 2014-05-10 455.5 449.79 455.5 454.6 455.5 3277.33718336 452.93
"26" 2014-05-11 459.24 429.6 439.27 438.78 439.27 9337.98139616 442.52
"27" 2014-05-12 443.6 431.56 441.14 441.14 442.41 4650.35552554 439.29
"28" 2014-05-13 443.77 430.61 438.88 437.27 438.72 6120.56580368 437.5
"29" 2014-05-14 449.96 437.24 447.48 447.48 449.2 6190.16395097 443.93
"30" 2014-05-15 452.67 444 448.38 448.01 448.37 5668.81379882 449.02
"31" 2014-05-16 452.41 444.5 449.71 449.71 450.96 3721.09323689 448.7
"32" 2014-05-17 451.48 445.01 450.67 449.03 450.68 2389.08237771 448.32
"33" 2014-05-18 451.43 444.52 446.28 446.25 446.28 2505.62835683 447.59
"34" 2014-05-19 450 441.44 447.08 447.08 447.72 4649.9055174 446.27
"35" 2014-05-20 500 446.24 486.98 484.62 486.7 27451.56641889 474.83
"36" 2014-05-21 499.1 484.8 494.38 494.37 494.38 7763.72032313 494.56
"37" 2014-05-22 528.87 492.65 525 523.91 525 16566.99493027 512.97
"38" 2014-05-23 547.1 519.97 529.11 529.11 529.47 19281.29289312 532.15
"39" 2014-05-24 532.64 515.4 525.62 525.62 526 6528.66202408 521.91
"40" 2014-05-25 586.34 524.5 569.82 569.8 570.93 19696.48756522 564.25
"41" 2014-05-26 593.48 565.58 581.93 580.85 581.93 11987.53752011 581.44
"42" 2014-05-27 595 550.22 577 577 577.55 19376.39228613 574.19
"43" 2014-05-28 582.26 563.45 574.5 572.59 574.5 8672.88728525 573.26
"44" 2014-05-29 582.1 560.05 571.49 569.98 571.49 8742.09658003 569.84
"45" 2014-05-30 624.36 568.56 622.55 622.55 624.36 19999.82991863 598.83
"46" 2014-05-31 629.4 611 625.54 624.78 625.54 11941.51052504 621.41
"47" 2014-06-01 683.26 618.53 641.02 641.02 644.8 23349.05876353 646.82
"48" 2014-06-02 677.77 613.03 672.66 672.66 672.75 18105.36273727 641.56
"49" 2014-06-03 680.99 649.61 669.9 668.8 669.9 16331.00167535 667.44
"50" 2014-06-04 673.87 621.86 646 644.02 645.5 17245.21001154 641.7
"51" 2014-06-05 669.63 639.69 664.69 661.43 664.69 10672.51601555 656.33
"52" 2014-06-06 664.97 647.86 654.01 654.01 654.6 6216.08564801 656.02
"53" 2014-06-07 656.84 635.88 656.11 655.45 656.11 6313.44950642 648.6
"54" 2014-06-08 661.11 651.7 656.2 655 656.2 2515.39855303 656.13
"55" 2014-06-09 659 639.93 646 644.42 646 6698.09572966 648.13
"56" 2014-06-10 657.41 642.08 646.09 646.09 648.71 6172.18012614 649.84
"57" 2014-06-11 652.39 615 620.91 620.9 620.91 9557.55659304 635.14
"58" 2014-06-12 630.36 571 575.89 572.15 575.89 15374.84930737 606.09
"59" 2014-06-13 611.99 550 588.54 588.66 588.69 28843.43024165 581.15
"60" 2014-06-14 593.53 538.38 559.06 559.06 559.5 14715.92185313 558.91
"61" 2014-06-15 576.64 552.11 571.56 571.56 573.8 7485.99911141 565.64
"62" 2014-06-16 610 571.01 596 595.01 595.99 13578.27725016 595.1
"63" 2014-06-17 608.88 580 604.6 604.95 605.88 6048.92969207 595.39
"64" 2014-06-18 616 599.9 607.87 607.02 607.87 7757.93966383 608.29
"65" 2014-06-19 609.98 593.68 595.53 595.53 596.03 3946.15920627 604.13
"66" 2014-06-20 598.68 580.51 594.01 594.01 594.45 7280.35186255 590.41
"67" 2014-06-21 594.97 580 590.08 590.08 591.84 2819.72672898 587.9
"68" 2014-06-22 605.05 587.82 599.99 598.22 599.99 4120.15286008 598.5
"69" 2014-06-23 601 580.46 588.24 588.24 588.65 5172.38295606 588.03
"70" 2014-06-24 588.67 579.99 582.73 582.73 582.74 4948.11065124 584.92
"71" 2014-06-25 582.82 555.11 564.1 563.05 564.1 9899.08420082 567.27
"72" 2014-06-26 574.93 554.45 573.82 573.74 573.82 4814.70919658 566.33
"73" 2014-06-27 590 573.52 583 582.27 583 7707.04777636 582.44
"74" 2014-06-28 604.21 582.28 596.9 593.94 596.9 4824.23570869 595.94
"75" 2014-06-29 601.79 589.56 596.4 595.02 596.4 1665.60264846 594.79
"76" 2014-06-30 647.09 595.02 642.86 641 642.85 15435.11173452 624.32
"77" 2014-07-01 658.88 636 649.61 646.8 647 9459.33510683 648.51
"78" 2014-07-02 658.75 638 649.91 647.6 649.41 5605.47970911 649.07
"79" 2014-07-03 652.79 638.79 644.87 642.61 642.98 4890.15418397 645.87
"80" 2014-07-04 650.48 616.3 631.04 628.5 631.67 8816.3507186 633.05
"81" 2014-07-05 632.97 623.23 624.44 624.44 627 1795.02151747 629.45
"82" 2014-07-06 639 622.86 632.89 631.66 632.89 3485.13673529 631.9
"83" 2014-07-07 636 612.9 621.5 620.01 621.5 7035.02593881 623.39
"84" 2014-07-08 626.62 616.89 623.22 623.22 625.55 2671.09093189 621.8
"85" 2014-07-09 626.88 618.71 624 623 624 2259.42390756 622.92
"86" 2014-07-10 624.35 607.9 617.99 616.14 617.99 6214.93056255 615.69
"87" 2014-07-11 635 613.46 633 632.69 633 6209.35930842 625.65
"88" 2014-07-12 642.57 628.7 636.91 635.87 636 3830.12110244 635.65
"89" 2014-07-13 638.73 626.09 629.73 629.73 629.75 4088.9895761 633.75
"90" 2014-07-14 632 617.7 622.91 621.5 622.89 3674.31680414 623.63
"91" 2014-07-15 626.25 616.09 624.77 621.42 624.68 3692.73514929 621.73
"92" 2014-07-16 625 610.01 614.9 615.84 616.77 5427.91161501 617.13
"93" 2014-07-17 629 610 626.26 626.26 626.33 4841.37758703 619.01
"94" 2014-07-18 632.96 618.46 628.37 628 628.37 4086.67080501 627.86
"95" 2014-07-19 632.96 625 630.95 629.01 630.9 1941.01496177 628.92
"96" 2014-07-20 631.5 620 625.5 623.21 625.5 1526.80140362 624.85
"97" 2014-07-21 628 615 621.96 620.06 621.96 3911.08947579 619.87
"98" 2014-07-22 624.99 618.91 621.94 619.75 621.94 3434.51794951 622.52
"99" 2014-07-23 623 615.51 621 619.9 620.99 3824.25512704 620.23
"100" 2014-07-24 622.67 591.12 604 602.24 604 10209.50495695 605.84
"101" 2014-07-25 609.65 592.97 602 600.23 602 4949.0623595 600.32
"102" 2014-07-26 603 590 595.09 593.36 595.09 3531.18561827 594.6
"103" 2014-07-27 602.83 589 594.95 593.02 594.95 3924.64263771 595.57
"104" 2014-07-28 596 570.5 589 587.07 589 10325.89371668 581.97
"105" 2014-07-29 593 578 584.51 583.93 584.51 4244.18765569 583.36
"106" 2014-07-30 586 557.12 560.79 557.87 560 10188.32978793 571.4
"107" 2014-07-31 590 555.9 587.75 586.08 587.74 9461.5277436 575.7
"108" 2014-08-02 607.2 582 596.3 595.46 595.48 11790.00258004 596.61
"109" 2014-08-04 595.7 581.8 592.24 591.21 592.24 3608.61770315 588.07
"110" 2014-08-05 589 578.25 580.33 580.34 581.95 6881.61018005 582.03
"111" 2014-08-07 586.36 576.44 582.73 581.17 582.72 7584.99940018 581.74
"112" 2014-08-08 595 583.93 591.97 590.01 591.97 4510.75536028 590.09
"113" 2014-08-09 591.97 585.21 590.11 589.99 590.55 1620.89451863 587.48
"114" 2014-08-10 597 586 586.98 586.97 586.98 3123.10768915 591.62
"115" 2014-08-11 590.99 571 573.95 572.46 573.95 5793.18657033 580.72
"116" 2014-08-12 575.73 561.9 568.73 568.72 569.68 6799.09176563 568.51
"117" 2014-08-13 572 524.55 545.91 545.91 547.45 25297.99097926 544.81
"118" 2014-08-14 551.86 497 506.73 504.11 506.71 25774.64606254 516.04
"119" 2014-08-15 521.79 481.55 501.34 501.34 502.65 16576.0797556 501.08
"120" 2014-08-16 529.8 485 522 519.05 522.02 12907.09420878 505.37
"121" 2014-08-17 524.8 485.39 491.02 491.02 492.61 10310.93213211 503.24
"122" 2014-08-18 510 442 462.65 462.65 464.67 28441.76511622 470.66
"123" 2014-08-19 493.98 453.01 485.51 485.23 485.51 18318.77513878 478.92
"124" 2014-08-20 527.01 466 512.89 511.52 512.89 18883.98592175 498.06
"125" 2014-08-21 534.14 510.57 525.16 523.5 525.11 13202.86710699 521.46
"126" 2014-08-22 528 500.01 518.33 516.62 518.32 16705.36372766 514.6
"127" 2014-08-23 521 487 497.49 497.5 498.86 8632.1869441 502.21
"128" 2014-08-24 515.95 490 510.84 507.07 510.82 5901.11444748 504.05
"129" 2014-08-25 510.84 496.79 504.2 502.34 504.15 5447.47586282 503.2
"130" 2014-08-26 516 499 508.65 508.65 509.9 7140.97254867 508.74
"131" 2014-08-27 523.09 508.94 515 515 516.13 7103.34149685 516.51
"132" 2014-08-28 515.58 507 507.01 507.01 507.59 7719.60980099 510.49
"133" 2014-08-29 514.98 501.25 508.88 508.88 509.32 7243.76586927 508.02
"134" 2014-08-30 509.65 498.13 499 498.72 499.99 4390.32085205 503.34
"135" 2014-08-31 504.75 473.33 481.79 481.83 483.32 10930.51751293 487.15
"136" 2014-09-01 490 472.54 481.01 481.03 481.88 8188.20948824 480.8
"137" 2014-09-02 484.61 470.42 477.5 477.5 477.98 8144.56454181 477.2
"138" 2014-09-03 477.99 471 471.9 471.63 471.9 4935.64195687 475.09
"139" 2014-09-04 497 471.04 488.88 488.18 488.88 10876.4403155 483.75
"140" 2014-09-05 492.99 477.01 478.46 478.17 478.44 4963.134257 484.03
"141" 2014-09-06 485 473.03 480.01 480.01 480.65 3517.6499626 479.79
"142" 2014-09-07 483 477.25 478.58 478.58 479.29 2238.08500379 480.43
"143" 2014-09-08 479.46 456.3 468.82 468.5 468.8 14965.99736438 469.06
"144" 2014-09-10 476.99 459.18 476.99 476.03 476.99 9379.4807723 468.27
"145" 2014-09-11 480.8 465 474.78 474.74 475.16 7990.34780932 473.99
"146" 2014-09-12 478 462 472.5 471.41 472.5 6622.70259376 470.66
"147" 2014-09-13 480.13 467.43 478.74 478.79 479.85 5872.5553976 476.53
"148" 2014-09-14 481.58 474 474.93 474.17 474.94 3909.54412303 477.54
"149" 2014-09-15 479.62 470 475.07 475.08 476.63 5266.59263221 475.04
"150" 2014-09-16 475.98 462 462.48 462.35 462.48 6805.41530341 468.61
"151" 2014-09-17 465.57 443.57 446.9 445.56 446.9 11777.15851413 454.22
"152" 2014-09-18 453.94 407.94 425.49 425.49 427.98 21458.84007791 430.71
"153" 2014-09-19 429 378.78 398.53 397.5 398.53 30513.69934161 401.04
"154" 2014-09-20 431.11 390 411 409.97 410.96 19945.74716519 413.26
"155" 2014-09-21 414.45 390 396.78 395.6 396.76 14195.94059412 402.67
"156" 2014-09-22 409.38 395.61 400.48 400.48 401.83 10406.62991082 402.07
"157" 2014-09-23 452.67 393.6 439.5 438.44 439.5 26725.29748282 425.1
"158" 2014-09-24 443.9 418.83 426.88 425.64 426.88 14882.34017612 430.09
"159" 2014-09-25 427.95 400 412.57 412.52 412.63 15315.99309298 411.99
"160" 2014-09-26 414.35 396.53 408.42 406.38 408.42 9994.88352287 405.09
"161" 2014-09-27 408.99 396.57 402.16 402.16 403.02 5548.55470855 402.72
"162" 2014-09-29 403.99 368.9 376.86 375.48 376.85 16527.43136459 383.56
"163" 2014-09-30 397.75 366 389.66 388.52 389.65 16378.99097021 381.59
"164" 2014-10-01 394.88 377.01 384.92 384.35 384.92 13417.03154145 384.76
"165" 2014-10-02 385.92 372.95 373.89 372.99 373.89 10085.23729447 378.01
"166" 2014-10-03 378.11 356 357.93 356.54 357.93 18400.11086746 365.68
"167" 2014-10-04 365.07 322.04 332.23 331.52 332.23 29008.70096344 342.45
"168" 2014-10-05 339.43 275 300.98 300.04 300.89 57052.1079549 305.33
"169" 2014-10-06 347 295.89 332.92 332.24 332.92 75616.60471926 315.55
"170" 2014-10-07 336.99 312.37 329.94 329.42 329.94 23134.39545076 326.57
"171" 2014-10-08 355 326.93 353.67 353.67 353.85 27768.82024727 342.06
"172" 2014-10-09 395.55 348.3 359.92 359.03 359.91 46916.15551862 369
"173" 2014-10-10 380.08 351.1 359.81 359.81 359.98 22477.45114157 362.21
"174" 2014-10-11 368.06 352.1 362.63 362.58 363.83 9702.22910937 360.04
"175" 2014-10-12 383.6 354.71 378.06 378.04 378.06 14329.64213218 367.01
"176" 2014-10-13 400 368.07 400 400 400.03 24697.54277613 382.6
"177" 2014-10-14 417.99 390 408.03 408 408.04 25247.02151075 404.75
"178" 2014-10-15 405.81 385.92 393.46 392.29 393.46 19054.11379333 393.87
"179" 2014-10-16 399 370.1 381.85 381.85 382.68 22925.84257978 382.61
"180" 2014-10-18 393.16 370.96 389 389.35 389.36 8823.06090369 381.77
"181" 2014-10-19 394.25 385 387.3 387.22 387.3 3073.21493439 389.66
"182" 2014-10-20 391.78 376.2 383.82 382.6 383.81 11553.36844047 382.35
"183" 2014-10-21 393.55 378.01 386.57 385.56 386.55 8611.0476945 386.32
"184" 2014-10-22 388.87 380 383.38 383.38 384.79 8186.49769117 384.29
"185" 2014-10-23 384.91 352.4 358.18 355.15 358 20536.57271099 367.12
"186" 2014-10-24 363.71 344.34 356.7 356.45 356.7 16286.82532807 355.89
"187" 2014-10-25 359.1 341.22 352.56 350.27 352.49 10893.99706437 348.88
"188" 2014-10-26 363 344.5 354.97 354.97 355.63 7960.96535279 354.41
"189" 2014-10-27 358.65 349.21 353.66 353.04 353.62 8367.85672556 353.99
"190" 2014-10-28 359.5 349.35 354.5 354.26 354.5 7887.43764488 354.04
"191" 2014-10-29 357.45 336.01 337.89 337.88 337.89 12796.62935624 345.26
"192" 2014-10-30 352.83 332.99 345.77 346.11 346.9 14610.87730066 340.97
"193" 2014-10-31 348.65 335.5 340 340.06 340.82 7727.04832294 342.23
"194" 2014-11-01 340.74 316.61 323.9 322.94 323.87 15054.62288383 327.15
"195" 2014-11-02 329 318.24 325.48 324.6 325.5 7928.06064239 323.55
"196" 2014-11-03 333.99 322 325.99 325.2 325.99 11600.95868213 328.77
"197" 2014-11-04 332.9 320 328.18 327.73 329.2 13462.36295305 326.87
"198" 2014-11-05 344.17 327.53 339.54 339.52 339.54 15606.81700547 338.19
"199" 2014-11-06 353.1 336.27 350.1 349.04 349.94 14303.92394846 345.49
"200" 2014-11-07 352.15 340.4 341.97 341.97 341.98 7406.97216226 345.21
"201" 2014-11-08 347.75 340.6 346.17 346.19 346.94 3720.92416276 343.71
"202" 2014-11-09 361.97 343.4 360.13 360.18 361.65 9351.86655221 354.38
"203" 2014-11-10 377.77 357.3 365 367.88 368.98 20375.63699623 368.96
"204" 2014-11-11 371.52 360.28 369.42 368.33 369.42 7412.87029342 366.3
"205" 2014-11-12 434.8 367.48 421.68 420.38 421.47 43300.62199706 404.97
"206" 2014-11-13 453.92 381.55 417.2 417.21 417.82 49753.19528984 420.14
"207" 2014-11-14 425 382.95 400.8 399.59 400.73 22876.97828427 399.24
"208" 2014-11-15 407.22 369 379.03 378.52 379.02 14213.32273815 383.23
"209" 2014-11-16 395 375 389.9 389.5 389.9 9964.3621698 385.08
"210" 2014-11-17 415 375 389.03 389.01 389.03 23967.7587843 396.18
"211" 2014-11-18 394.64 371 377.19 376.65 377.19 15059.18229091 380.06
"212" 2014-11-19 386.39 371.7 377.32 377.32 378.89 9330.27858112 379.24
"213" 2014-11-20 381.8 351.8 357.93 357.15 357.89 16460.72390857 363.79
"214" 2014-11-22 365.93 350 354.44 353.03 354.52 6747.16309738 358.95
"215" 2014-11-23 373.5 353.01 367.88 367 368.62 7805.95868442 362.95
"216" 2014-11-24 389.99 364.5 376.05 376.04 376.05 18513.47715449 376.79
"217" 2014-11-25 395.11 374.31 379.1 379.1 379.13 16488.13630784 383.35
"218" 2014-11-26 379.22 363.38 364.63 364.65 365.12 13085.19273728 370.78
"219" 2014-11-27 375.33 364.63 368.39 367.62 368.46 6405.66473445 370.99
"220" 2014-11-28 381.34 358 375.83 374.6 375.83 13644.43030397 369.75
"221" 2014-11-29 386.6 372.25 375.57 375.61 376.83 7356.43338335 378.99
"222" 2014-11-30 381.99 373.32 373.32 373.32 374.99 3104.75001194 376.05
"223" 2014-12-01 382.31 373.03 378.7 376.82 378.74 6652.13313325 378.44
"224" 2014-12-02 382.86 375.23 378.01 378 378.82 6862.58792321 379.59
"225" 2014-12-03 383 374.23 377.47 376.54 377.43 7916.77664163 379.15
"226" 2014-12-04 378.99 360 368.5 367.83 368.5 12246.79110586 369.06
"227" 2014-12-05 377.89 363.99 376.85 375.99 376.6 9265.42961769 372.01
"228" 2014-12-06 376.99 371.31 376.06 374.97 376 2251.54656206 374.7
"229" 2014-12-07 377.5 373.08 377.1 376.3 377.41 2553.86335923 375.99
"230" 2014-12-08 377.45 364.6 364.6 364.61 365 9945.72177917 368.47
"231" 2014-12-09 366.03 343.97 351.7 349.8 351.65 21353.7799986 352.47
"232" 2014-12-10 353.74 347.23 347.99 347.37 347.98 6602.22148439 350.24
"233" 2014-12-11 364.43 339.8 349.06 348.31 349.04 16554.17384809 353.33
"234" 2014-12-12 358.59 348 355.5 354.76 355.44 8083.99296793 354
"235" 2014-12-13 354.95 347.03 349.88 349.88 351.48 3895.7848542 350.28
"236" 2014-12-14 359.3 347.44 354.87 354.93 356 6319.53708997 353.79
"237" 2014-12-15 358.37 346.21 349.51 349.12 349.51 8165.74435579 351.23
"238" 2014-12-16 349.36 330.23 333.08 331.27 333.03 17172.38981006 338.34
"239" 2014-12-17 335.99 315.23 321.02 321.02 322.24 23916.93252534 323.29
"240" 2014-12-18 325.61 304.99 311.31 311.33 312 21402.84767894 313.81
"241" 2014-12-19 320 307.11 318.84 318.61 318.84 16188.22859442 313.18
"242" 2014-12-20 329.99 316.52 329.97 329.22 329.97 10654.62959189 324.05
"243" 2014-12-21 333 318.78 322.82 322.14 322.79 7025.83175166 325.51
"244" 2014-12-22 333.99 319.9 329.82 329.83 330.97 11803.6572224 327.96
"245" 2014-12-23 338.99 327.49 336.91 335.43 336.89 7764.01402621 333.65
"246" 2014-12-24 337 321.3 323.79 323.42 323.92 5741.80319915 329.67
"247" 2014-12-25 324.23 316.63 319.5 318.45 319.5 4182.41954887 319.84
"248" 2014-12-26 332 316.64 329.74 329.75 330.09 6351.34062507 325.59
"249" 2014-12-27 330.97 311.63 316.81 316.84 317.91 8467.45091981 318.11
"250" 2014-12-28 319.56 311.22 317.67 316.9 317.67 4335.40658597 315.29
"251" 2014-12-29 320.14 311.61 313.69 313.45 313.69 5909.34047376 315.14
"252" 2014-12-30 316.77 310 311.98 311.03 311.99 9956.05286911 312.5
"253" 2014-12-31 319.99 310.69 319.99 319.19 319.63 5723.0610771 315.38
"254" 2015-01-01 321 312.6 315.19 315.2 315.24 3665.62388968 316.43
"255" 2015-01-02 317.01 311.96 316.1 315.15 316.1 3495.27630346 314.97
"256" 2015-01-03 316.64 286 287.97 287.98 288.37 19378.6336293 299.39
"257" 2015-01-04 289.81 255 260.01 259.71 260.01 43194.28678415 272.75
"258" 2015-01-09 305 272.45 293.42 292.62 293.4 8388.75897966 291.89
"259" 2015-01-10 297.99 271.03 276.3 276.31 276.38 30727.19886741 284.72
"260" 2015-01-11 280.94 265.01 268 268 268.37 11163.67272425 274.11
"261" 2015-01-12 272.43 262.08 268.2 268.21 268.44 11906.14657768 268.91
"262" 2015-01-13 269.11 216 220.5 220.5 221.08 56583.05159544 237.2
"263" 2015-01-14 230.89 152.4 170 170.02 171.8 123651.53024554 191.87
"264" 2015-01-15 233.9 161.1 207.6 207.4 207.6 85879.83510188 204.96
"265" 2015-01-16 223.15 198.04 208.36 208.07 208.36 35597.32515196 211.08
"266" 2015-01-17 212.84 192.17 199.55 199.25 199.59 20411.90003174 201.24
"267" 2015-01-18 222 195.02 211.33 210.59 211.77 18446.0451782 209.56
"268" 2015-01-19 220.94 207.7 217.9 217.53 217.9 12773.52750069 213.23
"269" 2015-01-20 218.69 201.98 212.15 210.74 212.15 14264.39672023 210.68
"270" 2015-01-21 228.37 205 224.23 224.23 224.91 22058.93414655 216.17
"271" 2015-01-22 239 224 232.85 232.43 232.82 26615.64881749 232.43
"272" 2015-01-23 240 225.55 231.64 230.31 231.63 15196.56151187 232.16
"273" 2015-01-24 249.99 230.03 249.02 249.02 249.66 13639.38995709 241.72
"274" 2015-01-25 256.5 241.33 254.38 253.67 254.58 24742.51711209 249.01
"275" 2015-01-26 309.9 246 272.63 271.7 272.71 59881.16354191 280.15
"276" 2015-01-27 278.51 243.1 263.47 262.89 263.27 21378.98765226 258.43
"277" 2015-01-28 266.45 225.91 237.77 237.01 237.75 27343.26316529 245.59
"278" 2015-01-29 242.18 220 233 232.83 233 26341.97565492 232.14
"279" 2015-01-30 244.98 227.26 231.66 231.13 231.78 19962.76102563 234.67
"280" 2015-01-31 234.8 224 224 224.01 224.12 17198.81124349 229.42
"281" 2015-02-01 233 208.48 227.16 226.38 227.15 21286.17129402 221.14
"282" 2015-02-02 239.06 221.79 239.06 239.17 239.18 13353.25755656 227.32
"283" 2015-02-03 244.39 223.79 230.59 230.17 230.59 19503.44495952 235.95
"284" 2015-02-04 231 220.02 227.21 226.28 227.37 15317.11566135 225.14
"285" 2015-02-05 229 210.43 218.56 217.71 218.56 13109.82600982 219.84
"286" 2015-02-06 225.86 210.59 223.34 222.51 223.28 10171.82832927 219.2
"287" 2015-02-07 231.14 220.34 229.2 228.32 229.17 10535.33245242 226.75
"288" 2015-02-08 232.89 217.28 224.39 224.19 224.39 13626.9610699 224.84
"289" 2015-02-09 225.99 215 220.45 220.21 220.46 19552.80574817 219.59
"290" 2015-02-10 222 215 221.12 221.12 221.52 6870.11114958 218.61
"291" 2015-02-11 223.43 217.99 219.5 219.42 219.48 10693.04312309 221.2
"292" 2015-02-12 223.09 218.01 222.85 222.82 222.85 6650.59313918 221.02
"293" 2015-02-13 242.35 221.37 236.6 236.6 236.99 21725.59480607 233.95
"294" 2015-02-14 259.31 236.5 258.81 258.81 258.82 19076.36039705 248.91
"295" 2015-02-15 267.92 227.75 234 234 234.08 29869.0755623 248.06
"296" 2015-02-16 241.23 229.2 237.04 236.59 237.01 12378.49268162 235.99
"297" 2015-02-17 248.78 232.01 243.2 242.9 243.38 12729.6567952 241.09
"298" 2015-02-18 247 232.01 235.98 235.39 236 13198.1902489 239.3
"299" 2015-02-19 244.78 235.11 241.78 241.83 242.64 7942.64380697 239.6
"300" 2015-02-20 249.32 239.41 245.74 245.74 245.75 10167.41355707 244.99
"301" 2015-02-21 247.8 244 245.89 245.88 245.89 3040.50470803 245.61
"302" 2015-02-22 247.42 232.48 235.72 235.75 236.7 7750.9993501 237.82
"303" 2015-02-23 241 232.05 238.88 238.69 238.9 6326.04521305 236.46
"304" 2015-02-24 240.97 236.07 239.45 239.45 239.81 5157.09348497 238.99
"305" 2015-02-25 240.98 236 237.99 237.8 237.99 3697.65853028 238.27
"306" 2015-02-26 238.55 234.01 236.38 236.58 236.77 5549.0410482 236.49
"307" 2015-02-27 256.15 236.16 253.94 253.7 253.96 21937.7568956 250.12
"308" 2015-02-28 254.56 245.2 253.39 253.28 253.39 5681.02758543 251.12
"309" 2015-03-01 260.25 245 257.59 256.01 257.49 9131.54434169 252.79
"310" 2015-03-02 275 254.42 272.99 272.79 272.99 17036.59468822 264.67
"311" 2015-03-03 284.95 265.89 278.94 278.94 278.97 22435.30898979 274.75
"312" 2015-03-04 283.88 264.94 269.45 269.46 269.98 14247.71137488 275.52
